Aluno,Universidade,Nota,Resultado
K6028,A3000,,Cancelada
G6246,A3000,"2,82",Cancelada
G6036,A3000,"3,15",Cancelada
I6152,A3000,"2,48",Cancelada
I6116,B3001,,Cancelada
K6100,C3002,,Escolhida
H6007,D3003,"3,15",Escolhida
G6030,D3003,"3,15",Aceita
K6214,D3003,,Cancelada
K6034,D3003,"3,15",Aceita
L6089,D3003,"2,82",Aceita
I6098,D3003,"3,48",Aceita
G6126,D3003,,Aceita
J6117,E3004,"4,15",Cancelada
J6237,E3004,,Cancelada
G6132,E3004,,Negada
I6212,E3004,,Negada
J6213,E3004,,Negada
H6001,F3005,,Aceita
H6019,F3005,"2,82",Aceita
L6029,F3005,,Negada
G6066,F3005,,Cancelada
H6073,F3005,"2,82",Cancelada
I6074,F3005,,Cancelada
I6116,F3005,,Cancelada
L6137,F3005,,Cancelada
L6209,F3005,,Cancelada
G6036,F3005,"3,15",Inválida / Cancelada
L6041,F3005,"3,48",Aceita
L6047,F3005,,Negada
J6057,F3005,"2,82",Aceita
K6082,F3005,,Aceita
L6083,F3005,"3,15",Cancelada
G6084,F3005,"2,82",Aceita
H6097,F3005,"3,48",Cancelada
L6107,F3005,,Cancelada
J6123,F3005,,Aceita
K6148,F3005,"2,15",Cancelada
G6156,F3005,,Cancelada
H6157,F3005,"3,48",Aceita
K6160,F3005,"2,82",Aceita
H6163,F3005,,Cancelada
L6173,F3005,,Cancelada
G6222,F3005,"2,82",Aceita
J6231,F3005,"2,48",Cancelada
G6240,F3005,,Negada
J6081,A3006,,Aceita
K6028,B3007,,Cancelada
H6169,B3007,,Cancelada
L6227,C3008,"2,15",Cancelada
I6062,C3008,"3,48",Aceita
L6227,C3008,"2,15",Aceita
G6138,D3009,,Cancelada
G6234,E3010,"3,48",Cancelada
I6056,E3010,"3,82",Negada
G6066,E3010,,Escolhida
K6076,E3010,"3,15",Negada
K6094,E3010,,Negada
L6101,E3010,"3,48",Escolhida
L6137,E3010,,Inválida / Cancelada
J6177,F3011,,Aceita
K6112,A3012,"3,15",Negada
L6149,A3012,"4,15",Negada
L6071,B3013,"2,15",Negada
J6231,C3014,"2,48",Cancelada
I6074,D3015,,Cancelada
K6214,E3016,,Cancelada
K6004,F3017,"3,15",Escolhida
K6220,F3017,"3,15",Cancelada
J6231,A3018,"2,48",Cancelada
J6231,A3018,"2,48",Cancelada
J6231,A3018,"2,48",Escolhida
L6167,B3019,,Negada
L6191,C3020,,Aceita
I6008,D3021,"2,82",Negada
L6011,D3021,,Aceita
H6007,D3021,"3,15",Cancelada
J6147,D3021,,Cancelada
K6076,D3021,"3,15",Negada
H6079,D3021,,Cancelada
L6095,D3021,,Aceita
I6182,D3021,"3,24",Negada
K6190,D3021,"2,15",Inválida / Cancelada
J6201,D3021,,Aceita
G6234,D3021,"3,48",Negada
J6243,D3021,"2,82",Negada
K6100,E3022,,Negada
G6000,F3023,"4,15",Aceita
H6013,F3023,"2,15",Negada
K6022,F3023,"3,48",Aceita
H6025,F3023,"2,82",Cancelada
L6077,F3023,"4,15",Cancelada
J6147,F3023,,Cancelada
L6053,F3023,"2,82",Negada
K6058,F3023,"3,48",Negada
L6065,F3023,,Negada
J6075,F3023,,Negada
K6076,F3023,"3,15",Negada
H6079,F3023,,Cancelada
J6093,F3023,"3,82",Negada
L6095,F3023,,Aceita
G6096,F3023,"3,15",Negada
I6098,F3023,"3,48",Negada
J6099,F3023,"3,48",Aceita
L6101,F3023,"3,48",Aceita
I6116,F3023,,Negada
K6118,F3023,"4,15",Aceita
G6120,F3023,"3,15",Cancelada
I6122,F3023,"3,48",Aceita
G6126,F3023,,Negada
I6128,F3023,,Negada
I6134,F3023,"3,48",Aceita
L6137,F3023,,Negada
H6139,F3023,,Negada
I6158,F3023,,Negada
L6161,F3023,,Aceita
H6163,F3023,,Negada
K6166,F3023,"3,48",Aceita
I6176,F3023,"3,15",Negada
K6190,F3023,"2,15",Negada
K6202,F3023,,Negada
K6220,F3023,"3,15",Negada
K6226,F3023,,Negada
I6230,F3023,"3,15",Negada
G6234,F3023,"3,48",Aceita
K6238,F3023,"3,48",Negada
K6112,A3024,"3,15",Negada
G6132,A3024,,Aceita
J6237,A3024,,Negada
I6242,B3025,"2,82",Aceita
H6235,C3026,"3,15",Cancelada
H6235,D3027,"3,15",Negada
L6233,E3028,,Inválida / Cancelada
J6231,F3029,"2,48",Cancelada
H6229,F3029,"4,15",Cancelada
J6063,A3030,,Aceita
G6000,B3031,"4,15",Negada
L6023,B3031,"4,15",Negada
G6030,B3031,"3,15",Negada
K6022,B3031,"3,48",Cancelada
J6183,B3031,,Cancelada
H6229,B3031,"4,15",Cancelada
G6042,B3031,,Negada
I6056,B3031,"3,82",Negada
I6068,B3031,,Negada
K6070,B3031,"3,82",Negada
I6080,B3031,"3,48",Negada
J6093,B3031,"3,82",Aceita
K6094,B3031,,Negada
G6102,B3031,"3,48",Negada
G6108,B3031,,Negada
J6117,B3031,"4,15",Negada
L6125,B3031,"4,15",Negada
G6132,B3031,,Negada
I6146,B3031,"3,48",Negada
I6152,B3031,"2,48",Negada
G6168,B3031,"3,82",Negada
I6212,B3031,,Negada
J6213,B3031,,Negada
H6229,B3031,"4,15",Negada
G6234,B3031,"3,48",Negada
J6237,B3031,,Negada
H6025,C3032,"2,82",Cancelada
K6112,D3033,"3,15",Negada
I6104,E3034,,Cancelada
J6141,E3034,"3,82",Cancelada
G6060,E3034,"3,82",Negada
J6117,E3034,"4,15",Negada
G6168,E3034,"3,82",Negada
H6037,F3035,"2,48",Aceita
H6169,A3036,,Aceita
G6246,A3036,"2,82",Aceita
J6105,B3037,,Negada
K6166,B3037,"3,48",Negada
K6172,C3038,,Cancelada
H6169,C3038,,Negada
I6026,D3039,,Aceita
L6047,D3039,,Negada
L6059,D3039,"2,15",Negada
H6073,D3039,"2,82",Escolhida
J6075,D3039,,Negada
I6164,E3040,"2,82",Cancelada
L6035,E3040,"3,15",Negada
L6107,E3040,,Aceita
L6011,F3041,,Cancelada
I6080,F3041,"3,48",Cancelada
K6148,F3041,"2,15",Aceita
K6178,F3041,,Aceita
G6210,F3041,,Aceita
I6116,A3042,,Cancelada
H6127,A3042,"3,15",Cancelada
L6071,A3042,"2,15",Negada
K6148,A3042,"2,15",Cancelada
H6031,B3043,"3,15",Inválida / Cancelada
L6107,B3043,,Aceita
I6008,C3044,"2,82",Negada
K6028,C3044,,Inválida / Cancelada
